,user_index,candidate_newindex,label
106,21,"[3108, 2635, 2542, 2549, 2619]","[1, 0, 0, 0, 0]"
107,96,"[3310, 3697, 4020, 3702, 4011]","[0, 0, 0, 0, 1]"
108,96,"[2541, 2541, 2541, 2541, 3159]","[0, 0, 0, 0, 1]"
109,96,"[2541, 2541, 2541, 2541, 2809]","[0, 0, 0, 0, 1]"
110,45,"[4022, 4024, 2599, 4026, 3155]","[1, 0, 0, 0, 0]"
111,79,"[2659, 4033, 3599, 2755, 3138]","[0, 0, 0, 0, 1]"
112,34,"[2797, 4038, 2803, 3878, 4052]","[0, 0, 1, 0, 0]"
113,90,"[3234, 2702, 3076, 3075, 2727]","[0, 0, 0, 1, 0]"
114,37,"[2721, 2694, 2816, 2830, 2678]","[0, 0, 0, 1, 0]"
115,77,"[3593, 4084, 3932, 4083, 4080]","[0, 0, 1, 0, 0]"
116,35,"[3634, 4085, 3678, 3985, 3395]","[0, 0, 0, 1, 0]"
117,30,"[2546, 2551, 2650, 2551, 2551]","[1, 0, 0, 0, 0]"
118,47,"[3037, 2898, 3484, 4086, 3337]","[1, 0, 0, 0, 0]"
119,91,"[2540, 2540, 2816, 2541, 2694]","[0, 0, 0, 1, 0]"
120,41,"[3042, 3034, 3035, 2826, 2829]","[0, 0, 0, 1, 0]"
121,88,"[2872, 2588, 2560, 2554, 2577]","[1, 0, 0, 0, 0]"
122,58,"[3351, 3490, 4087, 3502, 2454]","[0, 0, 0, 1, 0]"
123,43,"[2580, 3366, 2992, 2980, 2567]","[0, 0, 0, 1, 0]"
124,69,"[3799, 3527, 3578, 4097, 3131]","[0, 0, 1, 0, 0]"
125,69,"[2589, 2541, 2591, 2541, 4095]","[0, 0, 0, 0, 1]"
126,48,"[2541, 3064, 3596, 2750, 3067]","[0, 0, 0, 1, 0]"
127,44,"[3286, 4101, 4100, 3139, 3578]","[0, 0, 0, 0, 1]"
128,40,"[3718, 4109, 2594, 2879, 2599]","[0, 0, 0, 1, 0]"
129,84,"[2717, 2760, 2540, 2719, 2777]","[0, 0, 1, 0, 0]"
130,87,"[2959, 3037, 2826, 3043, 3331]","[0, 0, 1, 0, 0]"
131,27,"[2826, 3437, 2826, 2826, 2826]","[0, 1, 0, 0, 0]"
132,42,"[2823, 4124, 3805, 2542, 3105]","[0, 0, 0, 1, 0]"
133,72,"[3190, 2541, 2590, 2541, 3261]","[0, 0, 0, 0, 1]"
134,99,"[3462, 3786, 3491, 3474, 4131]","[1, 0, 0, 0, 0]"
135,32,"[3602, 2619, 4136, 2543, 3108]","[0, 0, 1, 0, 0]"
136,85,"[3035, 4133, 2548, 3037, 3716]","[1, 0, 0, 0, 0]"
