,user_id,pnew_id,nnew_id,user_index
10,U89744,"['N61622', 'N23805']","['N47572', 'N45523', 'N64560', 'N53245', 'N8509', 'N51951', 'N37185', 'N23814', 'N7901', 'N26220', 'N45590', 'N12028', 'N61296', 'N61811', 'N51853', 'N38483', 'N12606', 'N57451', 'N57426', 'N36626', 'N2578', 'N38442', 'N11817', 'N39399', 'N46159', 'N62395', 'N47624', 'N25165', 'N23184', 'N47205', 'N27789', 'N32641', 'N40559', 'N54291', 'N45509', 'N36249', 'N50107', 'N34600', 'N4510', 'N18553', 'N52520', 'N64685', 'N49180', 'N40109', 'N55712', 'N20240', 'N36689', 'N6477', 'N31050', 'N7873', 'N19647', 'N9623', 'N7476', 'N61787', 'N3123', 'N49712', 'N2957', 'N47151', 'N41172', 'N14547', 'N9720', 'N64606', 'N40130', 'N5048', 'N27192', 'N43522', 'N50754', 'N48340', 'N29739', 'N44698', 'N35393', 'N48064', 'N18850', 'N55548', 'N10960', 'N47248', 'N34048', 'N32519', 'N2787', 'N35387', 'N38652', 'N3418', 'N21701', 'N2046', 'N13657', 'N31679', 'N39389', 'N61623', 'N64096', 'N18059', 'N26944', 'N53960', 'N496', 'N25949', 'N64840', 'N25160', 'N13979', 'N46923', 'N42803', 'N47098', 'N37020', 'N48017', 'N706', 'N999', 'N33240', 'N38311', 'N64721', 'N3167', 'N16344', 'N28767', 'N48705', 'N49956', 'N63796', 'N47006', 'N61852', 'N8657', 'N40676', 'N57034', 'N60619', 'N59469', 'N22750', 'N38779', 'N64258', 'N4807', 'N41387', 'N35989', 'N57591', 'N61497', 'N64094', 'N53296', 'N20770', 'N20428', 'N43670', 'N7112', 'N19915', 'N23749', 'N51489', 'N37774', 'N46821', 'N36252', 'N10812', 'N8242', 'N62894', 'N56777', 'N32791', 'N38512', 'N4066', 'N30550', 'N33212', 'N4642', 'N15307', 'N33883', 'N30071', 'N51194', 'N57713', 'N6216', 'N17529', 'N47231', 'N30035', 'N50490', 'N27476', 'N32567', 'N22407', 'N32425', 'N50872', 'N10840', 'N32798', 'N63550', 'N54752', 'N53861', 'N3431', 'N12446', 'N38023', 'N35131', 'N1539', 'N54348', 'N6866', 'N33576', 'N19376', 'N26286', 'N11940', 'N33831', 'N64446', 'N23877', 'N61588', 'N44342', 'N63174', 'N62933', 'N29212', 'N12020', 'N33120', 'N23134', 'N48613', 'N48832', 'N14170', 'N17865', 'N1940', 'N51133', 'N22457', 'N23162', 'N47748', 'N3038', 'N58573', 'N23189', 'N43460', 'N59022', 'N51570', 'N58836', 'N64691', 'N5930', 'N11796', 'N20356', 'N50372', 'N61408', 'N15811', 'N23446', 'N22880', 'N29517', 'N15269', 'N58133', 'N46477', 'N20824', 'N42860', 'N25108', 'N55555', 'N19195', 'N21712', 'N12124', 'N59385', 'N36624', 'N56051', 'N24686', 'N39446', 'N37908', 'N54501', 'N9135', 'N49498', 'N36226', 'N30085']",98
11,U10045,['N21420'],"['N59673', 'N34876', 'N14592', 'N53470', 'N39010', 'N51048', 'N47061', 'N64094', 'N4913', 'N35233', 'N13907', 'N26795', 'N28213', 'N287', 'N22417']",3
12,U92486,['N43073'],"['N25138', 'N61214', 'N62570', 'N36712', 'N15830', 'N40071', 'N27581', 'N53017', 'N48606', 'N10169', 'N54300', 'N30188', 'N46309', 'N62599', 'N53318', 'N63538', 'N47067', 'N31679', 'N53111', 'N56193', 'N54397', 'N22549', 'N63550', 'N61320', 'N43432', 'N42965', 'N32144', 'N37833', 'N57090', 'N12028', 'N9475', 'N40431', 'N35729', 'N54038', 'N4912', 'N33632', 'N27473', 'N26376', 'N47035', 'N35937', 'N36703', 'N56774', 'N29001', 'N50469', 'N58549', 'N18870', 'N11830', 'N25414', 'N28047', 'N14531', 'N40300', 'N49030', 'N61006']",92
13,U29155,"['N55943', 'N8373']","['N44698', 'N37204', 'N36612', 'N64174', 'N29212', 'N37673', 'N6477', 'N17031', 'N21077', 'N1539', 'N36226', 'N18529', 'N24109', 'N38733', 'N45523', 'N25966', 'N59267', 'N41387', 'N25165', 'N16439', 'N6837', 'N38442', 'N57081', 'N29735', 'N9944', 'N64305', 'N32759', 'N23446', 'N31679', 'N12446', 'N59951']",22
14,U63162,['N20495'],"['N42977', 'N29468', 'N14726', 'N18887', 'N45704', 'N52662', 'N27601', 'N46607', 'N25624', 'N19318', 'N3123', 'N7821', 'N27289', 'N50389', 'N33677', 'N20811', 'N35738', 'N39317', 'N33212', 'N38512', 'N54003', 'N166', 'N11511', 'N7121', 'N261', 'N37320', 'N30920', 'N27560', 'N55065', 'N61404', 'N18947', 'N64851', 'N13974', 'N51255', 'N36186', 'N49556', 'N53084', 'N33005', 'N62920', 'N7328', 'N6056', 'N16096', 'N29715', 'N38309', 'N20678', 'N60932', 'N59469', 'N22457', 'N15506', 'N50415', 'N2823', 'N12608', 'N44422', 'N51808', 'N28357', 'N36516', 'N17059', 'N25088', 'N33261', 'N7419', 'N33240', 'N55132', 'N30475', 'N31978', 'N47412', 'N64745', 'N23081', 'N26262', 'N20178', 'N23590', 'N20915', 'N62386', 'N2169', 'N6890', 'N51954', 'N60272']",46
15,U17841,['N19542'],"['N39587', 'N53214', 'N33848', 'N31763', 'N52622', 'N7128', 'N36621', 'N61359', 'N29001', 'N51241', 'N7328', 'N57853', 'N61623', 'N5370', 'N59407', 'N7041', 'N55689']",81
16,U8312,['N61022'],"['N1604', 'N1034', 'N64916', 'N61145', 'N14520', 'N56051', 'N39758', 'N57097', 'N55353', 'N26706', 'N48657']",61
17,U11306,"['N63550', 'N12042', 'N35729']","['N20811', 'N44399', 'N38783', 'N50005', 'N36703', 'N53318', 'N28382', 'N15761', 'N54161', 'N53302', 'N46972', 'N49879', 'N28668', 'N61623', 'N16280', 'N58020', 'N29017', 'N41578', 'N1920', 'N43083', 'N40065', 'N53431', 'N52446', 'N29840', 'N15855', 'N25437', 'N53296', 'N53008', 'N33872', 'N33981', 'N23254', 'N43528', 'N5791', 'N21519', 'N56517', 'N7128', 'N10969', 'N57030', 'N35907', 'N40171', 'N28773', 'N29854', 'N16043', 'N43202', 'N11821', 'N41842', 'N5288', 'N17104', 'N47401', 'N15830', 'N49252', 'N43309', 'N53017', 'N56227', 'N24686', 'N12325', 'N63646', 'N58885', 'N4295', 'N29696', 'N39587', 'N4663', 'N36273', 'N18708', 'N21342', 'N26607', 'N10804', 'N28862', 'N28047', 'N28578', 'N57527', 'N55411', 'N61320', 'N12430', 'N21707', 'N46258', 'N30135', 'N62570', 'N40300', 'N43432', 'N35388', 'N8922', 'N3541', 'N13051', 'N5370', 'N36509', 'N61006', 'N27441', 'N41698', 'N56061', 'N3506', 'N24176', 'N37833', 'N62599', 'N54038', 'N52683', 'N61822', 'N7535', 'N50314', 'N4247', 'N9475', 'N33985', 'N62093', 'N25623', 'N58549', 'N58553', 'N22371', 'N5783', 'N47061', 'N28091', 'N50469', 'N28204', 'N21309', 'N23935', 'N56278', 'N40356', 'N28947', 'N13341', 'N54283', 'N37870', 'N53111', 'N6379', 'N37332', 'N18613', 'N48606', 'N15435', 'N31273', 'N34930', 'N26130', 'N24821', 'N25212', 'N2869', 'N15020', 'N8061', 'N5171', 'N30529', 'N44324', 'N12831', 'N8555', 'N21758', 'N18405', 'N30184', 'N13369', 'N209', 'N9158', 'N28324', 'N53343', 'N47889', 'N54595', 'N29128', 'N46309', 'N35106', 'N19043', 'N50575', 'N61688', 'N62729', 'N47851', 'N12028', 'N32087', 'N47099', 'N6819', 'N20224', 'N52600', 'N18340', 'N54868', 'N26376', 'N26952', 'N11830', 'N47067', 'N36964', 'N47235', 'N23085', 'N29218', 'N6342', 'N51169', 'N47229', 'N29069', 'N19099', 'N34099', 'N56193', 'N48510', 'N28614', 'N22664', 'N31041', 'N50389', 'N26084', 'N35738', 'N17482', 'N16809', 'N49030', 'N31037', 'N23784', 'N42266', 'N14531', 'N30989', 'N43502', 'N4912', 'N31370', 'N22942', 'N29839', 'N195', 'N11483', 'N62804', 'N1914', 'N48350', 'N42614', 'N36712', 'N5043', 'N61145', 'N57005', 'N29196', 'N54397', 'N44737', 'N54300', 'N18870', 'N48578', 'N5497', 'N33347', 'N45561', 'N10754', 'N37250', 'N43415', 'N48759', 'N39461', 'N6932', 'N3392', 'N31763', 'N53901', 'N49685', 'N990', 'N27143', 'N2886', 'N32144', 'N241', 'N40431', 'N61742', 'N9652', 'N56598', 'N63958', 'N55645', 'N52203', 'N62667', 'N25414', 'N21915', 'N3992', 'N30188', 'N27473', 'N6926', 'N27581', 'N23060', 'N17340', 'N29001', 'N1774']",20
18,U38627,"['N287', 'N59673']","['N4642', 'N26025', 'N4913', 'N39010', 'N51048', 'N21420', 'N34876', 'N13907', 'N47061']",51
19,U47654,['N26649'],"['N21420', 'N61623', 'N32519', 'N61760', 'N23162', 'N43587', 'N34048', 'N53443', 'N16314', 'N22442', 'N49483', 'N6066', 'N32381', 'N59761', 'N36184', 'N22880', 'N41387', 'N30085', 'N59673', 'N41929', 'N52294', 'N50601', 'N16804', 'N26795', 'N20746', 'N47061', 'N7431', 'N33501', 'N13907', 'N64094', 'N34876', 'N23547', 'N12839', 'N3841', 'N12377', 'N64228', 'N39949', 'N39010', 'N53470', 'N43386', 'N13930', 'N33', 'N50302', 'N37793', 'N35233', 'N23008', 'N62563', 'N4913', 'N20428', 'N7754', 'N29536', 'N28523', 'N24458', 'N26262', 'N42143', 'N51187', 'N22417', 'N18862', 'N287', 'N14592', 'N37185', 'N19592', 'N61032', 'N15719', 'N31050', 'N62894', 'N33361', 'N36660', 'N57426', 'N2046', 'N51048', 'N9720', 'N15279', 'N23824', 'N22215', 'N49001', 'N48077', 'N53861', 'N13471', 'N29340', 'N60186', 'N36638', 'N50415', 'N21701', 'N41165', 'N103', 'N7419', 'N11869']",54
20,U70879,['N35815'],"['N38442', 'N50601', 'N36016', 'N42457', 'N23446', 'N48407', 'N38779', 'N13981', 'N4156', 'N25966', 'N32567', 'N47098', 'N53237', 'N31769', 'N48410', 'N45523', 'N3726', 'N24109', 'N13005', 'N10960', 'N59267', 'N15574', 'N39683', 'N19318', 'N47572', 'N36003', 'N25444', 'N62227', 'N62894', 'N21037', 'N58152', 'N51195', 'N49284', 'N30648', 'N37204', 'N65027', 'N32641', 'N62318', 'N61483', 'N12627', 'N496', 'N60231', 'N56211', 'N33005', 'N20676', 'N18529', 'N29212', 'N42670', 'N56573', 'N38215', 'N5582', 'N38869', 'N55943', 'N64305', 'N16931', 'N39907', 'N28962', 'N23814', 'N44698', 'N42803', 'N36226', 'N22257', 'N36182', 'N54752', 'N50004', 'N23805', 'N40109', 'N35094', 'N42698', 'N34185', 'N9621', 'N34668', 'N31893', 'N38404', 'N35393', 'N6390', 'N9135', 'N34869', 'N30172', 'N6477', 'N23028', 'N6837', 'N64543', 'N62992', 'N34492', 'N58569', 'N65202', 'N59462', 'N43445', 'N46283', 'N58660', 'N52069', 'N21297', 'N30920', 'N53615', 'N45317', 'N57081', 'N4162', 'N51553', 'N25165', 'N50872', 'N19019', 'N61296', 'N41387', 'N21428', 'N55275', 'N14713', 'N20576', 'N28072', 'N16439', 'N6787', 'N50619', 'N10552', 'N10616', 'N32015', 'N38490', 'N53515', 'N48613', 'N1539']",49
21,U80798,['N47020'],"['N41881', 'N27845', 'N60374', 'N59852', 'N51398', 'N8929']",11
22,U19722,"['N55268', 'N64252']","['N11769', 'N29517', 'N7121', 'N56548', 'N4642', 'N45509', 'N19776', 'N29553', 'N29536', 'N8084', 'N51195', 'N3957', 'N60550', 'N27417', 'N25088', 'N5652', 'N64305', 'N8509', 'N51048', 'N33831', 'N14547', 'N58114', 'N20356', 'N4510', 'N4404', 'N47717', 'N46477', 'N60186', 'N10746', 'N18312', 'N45742', 'N60678', 'N23864', 'N49483', 'N41612', 'N21420', 'N7618', 'N51287', 'N44249', 'N61623', 'N27869', 'N62563', 'N31948', 'N36266', 'N48705', 'N26081', 'N41172', 'N18059', 'N56214', 'N35047', 'N4066', 'N36261', 'N26262', 'N52662', 'N62933', 'N52471', 'N5597', 'N47346', 'N52554', 'N21701', 'N31893', 'N23081', 'N52294', 'N49956', 'N59186', 'N22417', 'N14029', 'N51194', 'N3431', 'N37437', 'N63106']",18
23,U9306,"['N58114', 'N18947', 'N12029', 'N7121']","['N20678', 'N61623', 'N18312', 'N22457', 'N50415', 'N27560', 'N3841', 'N33677', 'N49556', 'N4754', 'N19592', 'N63958', 'N5146', 'N44203', 'N6890', 'N60932', 'N7821', 'N33261', 'N33212', 'N60456', 'N36516', 'N37753', 'N14592', 'N17759', 'N55132', 'N12377', 'N61023', 'N14726', 'N18887', 'N849', 'N3123', 'N44422', 'N40003', 'N32589', 'N34579', 'N26262', 'N26673', 'N3663', 'N62366', 'N22320', 'N55606', 'N20178', 'N16096', 'N45704', 'N25881', 'N7419', 'N33240', 'N41113', 'N64851', 'N22407', 'N19444', 'N62386', 'N6857', 'N20495', 'N39317', 'N53886', 'N47717', 'N43102', 'N59385', 'N20915', 'N8687', 'N64745']",57
24,U67119,"['N32182', 'N31978']","['N60105', 'N57319', 'N36789', 'N11793', 'N34998', 'N14184', 'N60252', 'N43519', 'N62360', 'N50675', 'N48046', 'N15315', 'N21656', 'N20069', 'N49180', 'N24423', 'N48019', 'N33619', 'N31947', 'N45890', 'N6056', 'N7319', 'N23547', 'N5516', 'N41020', 'N45551']",60
25,U91678,['N55689'],"['N35729', 'N42961', 'N13801', 'N27581', 'N32791', 'N59981']",75
26,U12328,['N287'],['N47061'],4
27,U44808,['N51048'],"['N14029', 'N4642', 'N56214', 'N8509']",66
28,U33207,"['N7041', 'N2823', 'N6056', 'N41881', 'N58410', 'N52585', 'N53585']","['N62212', 'N27521', 'N28983', 'N12028', 'N25437', 'N26262', 'N30475', 'N40065', 'N18708', 'N50406', 'N40530', 'N56598', 'N28324', 'N59981', 'N19735', 'N33848', 'N24686', 'N33872', 'N45456', 'N45076', 'N3894', 'N36545', 'N21915', 'N61359', 'N61623', 'N15761', 'N61549', 'N16804', 'N55204', 'N47433', 'N32791', 'N24180', 'N2869', 'N41698', 'N12800', 'N43338', 'N9139', 'N2', 'N5905', 'N41651', 'N6379', 'N45660', 'N28578', 'N45616', 'N3697', 'N58030', 'N8957', 'N17011', 'N3541', 'N54482', 'N27079', 'N21519', 'N48890', 'N49879', 'N26130', 'N38311', 'N23935', 'N1019', 'N18870', 'N51241', 'N43432', 'N23784', 'N47006', 'N47067', 'N63817', 'N4815', 'N47981', 'N15020', 'N47229', 'N62093', 'N60162', 'N1914', 'N11821', 'N13816', 'N6099', 'N30135', 'N55940', 'N30108', 'N33831', 'N23485', 'N4633', 'N43748', 'N31763', 'N51346', 'N11830', 'N3474', 'N36712', 'N7128', 'N36273', 'N53008', 'N37814', 'N21840', 'N10754', 'N59436', 'N17140', 'N57005', 'N5075', 'N27577', 'N64397', 'N8061', 'N40431', 'N6375', 'N20018', 'N14780', 'N25953', 'N47747', 'N36442', 'N47475', 'N17340', 'N11301', 'N43789', 'N4936', 'N53214', 'N44324', 'N36933', 'N7466', 'N5370', 'N13730', 'N24301', 'N64243', 'N21707', 'N35671', 'N42144', 'N2952', 'N64009', 'N54868', 'N63538', 'N35729', 'N22442', 'N26286', 'N43415', 'N50005', 'N36621', 'N59385', 'N40318', 'N48476', 'N10464', 'N48578', 'N26331', 'N13259', 'N17106', 'N52622', 'N6342', 'N42961', 'N55689', 'N29128', 'N17482', 'N54988', 'N22457', 'N29001', 'N38947', 'N46878', 'N26712', 'N49240', 'N58553', 'N63550', 'N23254', 'N24176', 'N57030', 'N26902', 'N61774', 'N15855', 'N59343', 'N13341', 'N3841', 'N46845', 'N40725']",78
29,U36009,"['N30089', 'N48019']","['N59385', 'N23326', 'N50415', 'N60456', 'N17059', 'N29468', 'N5146', 'N58813', 'N38512', 'N58114', 'N7419', 'N48063', 'N19592', 'N7821', 'N26262', 'N4754', 'N3123', 'N36184', 'N50156', 'N12731', 'N33261', 'N14726', 'N62920', 'N20678', 'N57565', 'N12029', 'N6953', 'N63958', 'N20915', 'N28357', 'N32589']",93
30,U85394,['N49279'],"['N61022', 'N44651']",13
31,U6744,['N3344'],"['N17069', 'N64851', 'N31029', 'N63970', 'N42634', 'N40839', 'N58363', 'N34998', 'N57754', 'N16096', 'N62386', 'N41020']",8
32,U81585,['N60374'],"['N25811', 'N3930', 'N51398', 'N7128', 'N13565', 'N43595', 'N37088', 'N59852', 'N18870', 'N52000', 'N46966', 'N47020', 'N41178', 'N732', 'N16209', 'N65088', 'N26376', 'N24272', 'N22816', 'N27845', 'N58051', 'N8929', 'N32126', 'N5442', 'N39115']",97
33,U83994,['N18870'],"['N53318', 'N62570', 'N56193', 'N33848', 'N4912', 'N28578', 'N27581', 'N32437', 'N35937', 'N56598', 'N65236', 'N35729', 'N6693', 'N48759', 'N63550', 'N50469', 'N22029', 'N54300', 'N63538', 'N55689', 'N61214', 'N13801', 'N57090']",50
34,U78244,"['N43266', 'N11817']","['N16096', 'N54125', 'N28495', 'N32544', 'N62386', 'N41354', 'N52094', 'N38309', 'N62360', 'N33212', 'N36186', 'N6056', 'N14726', 'N60272', 'N62563', 'N57754', 'N44742', 'N23081', 'N7419', 'N3344', 'N6975', 'N38490', 'N64851', 'N30518', 'N52294', 'N22407', 'N45422', 'N1785', 'N61404', 'N22339', 'N61822', 'N21741', 'N166', 'N47412', 'N40839', 'N36850', 'N22029', 'N29715', 'N27289', 'N23008', 'N30920', 'N36516', 'N34110', 'N43102', 'N58363', 'N18887', 'N3123', 'N3841', 'N55950', 'N19318', 'N11269', 'N49180', 'N64228', 'N42634', 'N32182', 'N41020', 'N2823', 'N40468', 'N59469', 'N17586', 'N33883', 'N31978', 'N44422', 'N48410', 'N63970', 'N64152', 'N59407', 'N33755', 'N55606', 'N18947', 'N50619']",14
35,U50695,['N20079'],['N33619'],15
36,U49572,['N35729'],"['N56193', 'N57853', 'N2886', 'N58710', 'N53318', 'N38508', 'N50469', 'N59407', 'N55689', 'N18870', 'N22664', 'N33632', 'N43309', 'N48759', 'N33848', 'N47035', 'N6926', 'N9475', 'N27581', 'N62570', 'N61214', 'N47401', 'N35937', 'N11830', 'N57090', 'N5370', 'N4912', 'N63538', 'N26728', 'N56598', 'N29128', 'N26130', 'N12608']",94
37,U80709,['N53585'],['N55689'],28
38,U39703,['N64184'],"['N45499', 'N57368', 'N7431', 'N57987', 'N13486', 'N59673', 'N26469', 'N11363', 'N7136', 'N34876', 'N27198', 'N22417', 'N21420', 'N39774', 'N287', 'N21297', 'N42143', 'N53470', 'N42634', 'N22145', 'N64094', 'N15719', 'N39010', 'N34048', 'N51048', 'N49483', 'N4913', 'N60858', 'N35389', 'N47061', 'N19592', 'N13907', 'N4537']",2
39,U27024,['N6477'],"['N20394', 'N28072', 'N29212', 'N47572', 'N54321', 'N9621', 'N60539', 'N18409', 'N37204', 'N62894', 'N17231', 'N37994', 'N62992', 'N61233', 'N47612', 'N3726', 'N25491', 'N9944', 'N57081', 'N45734', 'N130', 'N43277', 'N9047', 'N57032', 'N6664', 'N59267', 'N36725', 'N3380', 'N59501', 'N28918', 'N32015', 'N3841', 'N50471', 'N44698', 'N4021', 'N22978', 'N1180', 'N33828', 'N10960', 'N52312', 'N35773', 'N49712', 'N23446', 'N6388', 'N12446', 'N58345', 'N27343', 'N34668', 'N1228', 'N42698', 'N55275', 'N18529', 'N48487', 'N36612', 'N37338', 'N4258', 'N39015', 'N56211', 'N17628', 'N56142', 'N39683', 'N48613', 'N26918', 'N8373', 'N38869', 'N38442', 'N14056', 'N55712', 'N18531', 'N34185', 'N5695', 'N9639', 'N38311', 'N19050', 'N23767', 'N54752', 'N4754', 'N58264', 'N16118', 'N45523', 'N9284', 'N3415', 'N44453', 'N6837', 'N57818', 'N47652', 'N30648', 'N7494', 'N27737', 'N22257', 'N34436', 'N31289', 'N31053', 'N61740', 'N23089', 'N52424', 'N57311', 'N41787', 'N19019', 'N42670', 'N46452', 'N32567', 'N61595', 'N45428', 'N55949', 'N19661', 'N38779', 'N15574', 'N61754', 'N20793', 'N55943', 'N50592']",89
40,U84248,['N58363'],"['N40839', 'N22339', 'N12493', 'N64851', 'N63970', 'N33212']",63
41,U78954,['N53017'],"['N9473', 'N42346', 'N3232', 'N29341', 'N61022', 'N58051', 'N65185', 'N41220', 'N1034', 'N47245', 'N17965', 'N288', 'N43869', 'N49707', 'N9163', 'N17252', 'N61768', 'N6926', 'N54595', 'N64916', 'N57097']",23
42,U40466,['N33619'],['N41020'],16
43,U15141,"['N20746', 'N25088']","['N7618', 'N56214', 'N13907', 'N17117', 'N14029', 'N8509', 'N15719', 'N22417', 'N62563', 'N41511', 'N36660', 'N4510', 'N24376', 'N47061', 'N23162', 'N21128', 'N34048', 'N20036', 'N26262', 'N38215', 'N63796', 'N36261', 'N21420', 'N35847', 'N50415', 'N51048']",5
44,U16402,['N55689'],"['N23414', 'N55204', 'N38662', 'N13930']",36
45,U9312,['N51048'],"['N287', 'N34876', 'N47061', 'N62128', 'N45266', 'N59673']",73
46,U1700,"['N47981', 'N16804', 'N13259']","['N63538', 'N24176', 'N17586', 'N29128', 'N35729', 'N9139', 'N50406', 'N36621', 'N40318', 'N47067', 'N20018', 'N22442', 'N33848', 'N3697', 'N23081', 'N22457', 'N56598', 'N4936', 'N7128', 'N45616', 'N26286', 'N18870', 'N30108', 'N1914', 'N29715', 'N8957', 'N13730', 'N21519']",0
47,U53159,['N14184'],"['N56243', 'N33619', 'N453', 'N44815', 'N36789', 'N48025', 'N8400', 'N60105', 'N6379', 'N51187', 'N28385', 'N25049', 'N42966', 'N45389', 'N28188', 'N53696', 'N16920', 'N16533', 'N53899', 'N23547', 'N43992', 'N49157', 'N58015', 'N30963', 'N32691', 'N14408', 'N5587', 'N3304', 'N11827', 'N4985', 'N59713', 'N51478', 'N38888', 'N47578', 'N31978', 'N50675', 'N31370', 'N62395', 'N21741', 'N18708', 'N55083', 'N20079', 'N25315', 'N27245', 'N60862', 'N52773']",6
48,U40937,['N39317'],"['N64745', 'N16463', 'N19092', 'N44422', 'N62386', 'N33212', 'N20678', 'N57283', 'N33261', 'N3344', 'N45704', 'N14726', 'N17059', 'N46607', 'N261', 'N305', 'N27560']",62
49,U38865,['N18151'],"['N3243', 'N18529', 'N496', 'N6837', 'N19661', 'N23767', 'N1539', 'N50872', 'N57032', 'N41387', 'N18531', 'N41432', 'N29212', 'N45523', 'N38779', 'N6477', 'N42698', 'N34185', 'N53515', 'N36226', 'N55913', 'N44698', 'N4975', 'N25165', 'N62318', 'N23446']",53
50,U78765,['N45389'],"['N52773', 'N20930', 'N12537', 'N29128', 'N31978', 'N42397', 'N59981', 'N18708', 'N3304', 'N53054']",33
51,U700,['N30035'],"['N55132', 'N19444', 'N61032', 'N64968', 'N36261', 'N8509', 'N30089', 'N13486', 'N29964', 'N63656', 'N49491', 'N64258', 'N28899', 'N64096', 'N21128', 'N36221', 'N59685', 'N23162', 'N21712', 'N25315', 'N26940', 'N48752', 'N64305', 'N35047', 'N56214', 'N34048', 'N38215', 'N37753', 'N5146', 'N35958', 'N26262', 'N20576', 'N50138', 'N59317', 'N35273', 'N4642', 'N17117', 'N11363', 'N48920', 'N37437', 'N51195', 'N51048', 'N50415', 'N11769', 'N38695', 'N21420', 'N3344', 'N59385', 'N50014', 'N47061', 'N7618', 'N8559', 'N22417', 'N63106', 'N22880', 'N63958', 'N14029', 'N24376', 'N58114', 'N8347', 'N5213', 'N20812', 'N13907', 'N27789', 'N33885', 'N4428', 'N4510', 'N56227', 'N9354', 'N46477', 'N23864']",1
52,U7932,"['N65185', 'N9473', 'N61022']","['N39342', 'N288', 'N64916', 'N17965', 'N1034', 'N57097', 'N25867', 'N43869', 'N49707']",19
